曲名,再生数,MV再生,サブスク再生,サブスク再生,MVリンク,サムネ用リンク,公開日,歌唱,作詞,作曲,編曲,ユニット,MV公開,本人の作詞/作曲,有観客ライブ披露済み,オンラインライブ等で披露済,メモ1,3D映像公開,3Dリンク,3Dリンク2,3Dリンク3,メモ2,独特なコーレス,Shortsリンク,サブスクリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・ハッピー,可愛い・ポップな,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
浮世の演舞,562,562,,,https://youtu.be/3mTTZuvhdHI?si=3CYIwPcdi0OKiYuq,https://youtu.be/3mTTZuvhdHI?si=3CYIwPcdi0OKiYuq,2020/04/04,VΔLZ,VΔLZ,弦月藤士郎,弦月藤士郎,VΔLZ,TRUE,TRUE,TRUE,,一唱入魂、三華仙台,TRUE,https://youtu.be/YhHoxoycFg8?si=kuo6VwjReHaVx3Il,,,,FALSE,,,https://www.youtube.com/live/7K0ouzmSCSE?si=HwqeI_kG8hAVbRoP&t=1848,,,VΔLZの出身地『桜魔帝国』を表すような和風エレクトロな雰囲気の楽曲。初配信時にリレーお披露目された。,VS,128,,,,10,,,,,,,30,25,25,10,,,,,5,3,30,20,100,
おしてのうた,0,,,,,https://x.com/Kaida_Haru/status/1247821744049541122?s=20,2020/04/08,甲斐田晴,弦月藤士郎,弦月藤士郎,-,VΔLZ,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,,https://x.com/Kaida_Haru/status/1247821744049541122?s=20,,,「三人で遊んでる流れで曲ができたので歌ってみました。」,,140,,,,,,20,20,,,,,,,,,,,10,3,0,20,16.66666667,50,
【Cover】MANKAI☆開花宣言（弾き語り）,34,34,,,https://youtu.be/1zm2DD63NvA?si=B9FOTn5-IHKMzrjN,https://youtu.be/1zm2DD63NvA?si=B9FOTn5-IHKMzrjN,2020/04/11,甲斐田晴,A3ders!,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,167,,10,,,,25,10,17.5,,,,,,,,17.5,,,5,1,25,16,80,
【Cover】青いベンチ（弾き語り）,43,43,,,https://youtu.be/cuHZUlLqLW0?si=KAUkFriTDamonvLi,https://youtu.be/cuHZUlLqLW0?si=KAUkFriTDamonvLi,2020/05/14,甲斐田晴,サスケ,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,106,,15,,,,,,12.5,10,,,,,,20,5,17.5,,6,0,20,13.33333333,80,
完熟ソクラテス,0,,,,,https://youtu.be/rKC5ZxDSWL4?si=AuJjGEyDv-stU-mJ,2020/07/28,甲斐田晴,甲斐田晴 feat.リスナー,甲斐田晴,-,その他,FALSE,TRUE,FALSE,FALSE,,FALSE,,,,,FALSE,,,https://www.youtube.com/live/B37r9VsN254?si=pni1g6Gl-1_0tUBH&t=8196,https://x.com/Kaida_Haru/status/1288138170865860608?s=20,,,,84,,5,,,,,,,,,,,,7.5,2.5,,5,15,5,0,15,7,35,
夢見る乙女シアター,0,,,,,https://www.youtube.com/live/I6pd_rdenDM?si=sBZ2Fc_V3N5tXqA8&t=7936,2020/08/10,甲斐田晴,甲斐田晴 feat.リスナー,甲斐田晴,-,その他,FALSE,TRUE,FALSE,FALSE,,FALSE,,,,,FALSE,,,https://www.youtube.com/live/I6pd_rdenDM?si=sBZ2Fc_V3N5tXqA8&t=7936,https://x.com/Kaida_Haru/status/1292809812653170688?s=20,,,,174,,,7.5,,,2.5,10,,,,,,,,,,,15,4,0,15,8.75,35,
【Cover】BaNG!!!,153,153,,,https://youtu.be/WjMJhygSp9A?si=xLyZbpjRELQuTGMZ,https://youtu.be/WjMJhygSp9A?si=xLyZbpjRELQuTGMZ,2020/09/29,VΔLZ,BAE,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,110,,,,10,10,,,,,20,15,20,,,,,,5,6,0,20,13.33333333,80,
江戸川デニール,0,,,,,https://www.youtube.com/live/GqfD-2Lo44A?si=xUMcnsBjUvE_JFNP&t=5168,2020/10/21,甲斐田晴,甲斐田晴 feat.リスナー,甲斐田晴,-,その他,FALSE,TRUE,FALSE,FALSE,,FALSE,,,,,FALSE,,,https://www.youtube.com/live/GqfD-2Lo44A?si=xUMcnsBjUvE_JFNP&t=5168,https://x.com/Kaida_Haru/status/1318911338249269249?s=20,,,,82,,5,,,,,,2,,,,,,,8,,5,15,5,0,15,7,35,
【Cover】幽霊東京,689,689,,,https://youtu.be/Jv7qTx-rsGs?si=AJZUqAh6hEltqLxk,https://youtu.be/Jv7qTx-rsGs?si=AJZUqAh6hEltqLxk,2020/10/25,甲斐田晴,Ayase,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,124,,,,,,,,,10,10,5,15,10,,15,,15,,7,0,15,11.42857143,80,
【Cover】ソーラン節,0,,,,,https://x.com/Kaida_Haru/status/1338345378668634112?s=20,2020/12/14,甲斐田晴,北海道民謡,-,-,歌ってみたワンコーラス,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,https://x.com/Kaida_Haru/status/1338345378668634112?s=20,https://youtube.com/shorts/lvnrkmi4zoc?si=SM92oh4a9lD1Gzin,,,,160,5,,,10,,,,,,,,,,5,,,,15,4,0,15,8.75,35,
【Cover】告白ライバル宣言（ピアノアレンジ）,138,138,,,https://youtu.be/OcPmXr-Eg5s?si=2QUfzf1esuXupJ7B,https://youtu.be/OcPmXr-Eg5s?si=2QUfzf1esuXupJ7B,2021/01/13,甲斐田晴（演奏：宇都圭輝）,HoneyWorks,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,165,,15,,,,,10,25,5,,,,,,15,,10,,6,1,25,13.33333333,80,
【Cover】KING,179,179,,,https://youtu.be/j_aYrH5Vb3A?si=aJl6CZk_d6tSyMfO,https://youtu.be/j_aYrH5Vb3A?si=aJl6CZk_d6tSyMfO,2021/01/20,甲斐田晴,Kanaria,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,166,,,,5,10,,,,,15,10,10,30,,,,,,6,1,30,13.33333333,80,
